node/id,node/name,node/description,node/chargeTaxes,node/availableForPurchaseAt,node/created,node/rating,node/updatedAt,node/__typename
TRUE,Electric Rendez Vous,"{""time"": 1654860792619, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:33:24.596904+00:00,2022-06-10T11:33:12.948852+00:00,,2022-06-10T11:33:23.347177+00:00,Product
TRUE,Flick Of The Switch,"{""time"": 1654860463949, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:27:55.270654+00:00,2022-06-10T11:27:44.266299+00:00,,2022-06-10T11:27:54.098204+00:00,Product
TRUE,Fly On The Wall,"{""time"": 1654860505434, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:28:35.638874+00:00,2022-06-10T11:28:25.752805+00:00,,2022-06-10T11:28:34.471079+00:00,Product
TRUE,Heatseeker,"{""time"": 1654860867161, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:34:38.405274+00:00,2022-06-10T11:34:27.504112+00:00,,2022-06-10T11:34:37.042731+00:00,Product
TRUE,Hell's Radio -The Legendary Broadcasts,"{""time"": 1654860478682, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:28:09.834573+00:00,2022-06-10T11:27:59.025718+00:00,,2022-06-10T11:28:08.468811+00:00,Product
TRUE,High Voltage,,TRUE,2022-06-10T11:31:22.214612+00:00,2022-06-10T11:31:09.204544+00:00,,2022-07-06T09:48:18.702987+00:00,Product
TRUE,High Voltage USA,"{""time"": 1654860652096, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:31:05.118417+00:00,2022-06-10T11:30:52.434609+00:00,,2022-06-10T11:31:03.619154+00:00,Product
TRUE,Highway To Hell,,TRUE,2022-06-10T11:26:51.175073+00:00,2022-06-10T11:26:38.637436+00:00,,2022-07-06T09:48:40.656187+00:00,Product
TRUE,"Hot Seams, Wet Dreams - Rock In Rio 1985","{""time"": 1654860753821, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:32:40.964976+00:00,2022-06-10T11:32:34.247193+00:00,,2022-06-10T11:32:39.529467+00:00,Product
TRUE,Let It Boogie!,"{""time"": 1654860591656, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:30:02.462339+00:00,2022-06-10T11:29:51.976101+00:00,,2022-06-10T11:30:01.273513+00:00,Product
TRUE,Let There Be Rock,"{""time"": 1654860414589, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:27:05.327244+00:00,2022-06-10T11:26:54.904841+00:00,,2022-06-10T11:27:04.174719+00:00,Product
TRUE,Let There Be Rock • For Those About To Rock,"{""time"": 1654860912529, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:35:24.906287+00:00,2022-06-10T11:35:13.046430+00:00,,2022-06-10T11:35:23.599440+00:00,Product
TRUE,Limited Edition Live Tracks,"{""time"": 1654860519366, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:28:47.091927+00:00,2022-06-10T11:28:39.706811+00:00,,2022-06-10T11:28:45.836480+00:00,Product
TRUE,Little Monsters,"{""time"": 1654860573506, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:29:47.897327+00:00,2022-06-10T11:29:34.025584+00:00,,2022-06-10T11:29:46.543182+00:00,Product
TRUE,Live at B. Ginnings,"{""time"": 1654860837863, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:34:08.051364+00:00,2022-06-10T11:33:58.194245+00:00,,2022-06-10T11:34:06.661240+00:00,Product
TRUE,Lock Up Your Daughters,"{""time"": 1654860713978, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:32:03.034949+00:00,2022-06-10T11:31:54.374430+00:00,,2022-06-10T11:32:01.158143+00:00,Product
TRUE,Rock N Roll Damnation,"{""time"": 1654860560336, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:29:30.125832+00:00,2022-06-10T11:29:20.653485+00:00,,2022-06-10T11:29:28.550280+00:00,Product
TRUE,Rock Or Bust,"{""time"": 1654860337667, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:25:54.747102+00:00,2022-06-10T11:25:37.995912+00:00,,2022-06-10T11:25:53.396378+00:00,Product
TRUE,Short Circuiting ,"{""time"": 1654860764701, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:32:54.201655+00:00,2022-06-10T11:32:45.257000+00:00,,2022-06-10T11:32:52.553257+00:00,Product
TRUE,Shot Down In Zurich,"{""time"": 1654860742953, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:32:29.994514+00:00,2022-06-10T11:32:23.281106+00:00,,2022-06-10T11:32:28.455186+00:00,Product
TRUE,Their Hits 1975-1995,"{""time"": 1654860851436, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:34:23.637976+00:00,2022-06-10T11:34:11.952690+00:00,,2022-06-10T11:34:22.318090+00:00,Product
TRUE,Thunderstruck,"{""time"": 1654860379591, ""blocks"": [{""id"": ""0"", ""data"": {""text"": """"}, ""type"": ""paragraph""}], ""version"": ""2.23.1""}",TRUE,2022-06-10T11:26:34.632141+00:00,2022-06-10T11:26:20.104371+00:00,,2022-06-10T11:26:33.372685+00:00,Product
